correct 	7.5secs 	What is 5 * 12? 	== 	60 	RunAve=runAve: 1/1 100% 	Sun Jan 10 2021 21:41:51 GMT-0600 (Central Standard Time)
correct 	72.0secs 	What is -9 * 3? 	== 	-27 	RunAve=runAve: 2/2 100% 	Sun Jan 10 2021 21:43:16 GMT-0600 (Central Standard Time)
wrong 	2.9secs 	What is 4 * 8? 	!= 	16 	RunAve=runAve: 2/3 66% 	Sun Jan 10 2021 21:43:27 GMT-0600 (Central Standard Time)
wrong 	1.7secs 	What is 9 + 4? 	!= 	16 	RunAve=runAve: 2/4 50% 	Sun Jan 10 2021 21:43:45 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 9 + 2? 	== 	11 	RunAve=runAve: 3/5 60% 	Sun Jan 10 2021 21:45:06 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 9 + 3? 	== 	12 	RunAve=runAve: 4/6 66% 	Sun Jan 10 2021 21:45:25 GMT-0600 (Central Standard Time)
wrong 	3.6secs 	What is 9 + 4? 	!= 	11 	RunAve=runAve: 4/7 57% 	Sun Jan 10 2021 21:45:47 GMT-0600 (Central Standard Time)
correct 	1.3secs 	What is 9 + 2? 	== 	11 	RunAve=runAve: 5/8 62% 	Sun Jan 10 2021 21:46:05 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 9 + 3? 	== 	12 	RunAve=runAve: 6/9 66% 	Sun Jan 10 2021 21:46:26 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 9 + 4? 	== 	13 	RunAve=runAve: 7/10 70% 	Sun Jan 10 2021 21:46:46 GMT-0600 (Central Standard Time)
wrong 	2.8secs 	What is 4 * 6? 	!= 	28 	RunAve=runAve: 7/11 63% 	Sun Jan 10 2021 21:47:07 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 4 * 7? 	== 	28 	RunAve=runAve: 8/12 66% 	Sun Jan 10 2021 21:47:28 GMT-0600 (Central Standard Time)
wrong 	7.8secs 	What is 4 * 8? 	!= 	36 	RunAve=runAve: 7/12 58% 	Sun Jan 10 2021 21:47:51 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is 4 * 4? 	== 	16 	RunAve=runAve: 7/11 63% 	Sun Jan 10 2021 21:48:05 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 4 * 5? 	== 	20 	RunAve=runAve: 7/10 70% 	Sun Jan 10 2021 21:48:25 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 7/9 77% 	Sun Jan 10 2021 21:48:48 GMT-0600 (Central Standard Time)
correct 	3.6secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 6/8 75% 	Sun Jan 10 2021 21:49:07 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 4 * 7? 	== 	28 	RunAve=runAve: 6/7 85% 	Sun Jan 10 2021 21:49:26 GMT-0600 (Central Standard Time)
correct 	4.2secs 	What is 4 * 8? 	== 	32 	RunAve=runAve: 6/6 100% 	Sun Jan 10 2021 21:49:48 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 1 + 8? 	== 	9 	RunAve=runAve: 5/5 100% 	Sun Jan 10 2021 21:50:06 GMT-0600 (Central Standard Time)
correct 	20.5secs 	What is -9 * 6? 	== 	-54 	RunAve=runAve: 4/4 100% 	Sun Jan 10 2021 21:50:44 GMT-0600 (Central Standard Time)
