correct 	2.8secs 	What is 1 * 2? 	== 	2 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 15:01:52 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 8 + 5? 	== 	13 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 15:02:15 GMT-0600 (Central Standard Time)
correct 	5.9secs 	What is 12 * 2? 	== 	24 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 15:02:35 GMT-0600 (Central Standard Time)
correct 	9.0secs 	What is 2 * 0? 	== 	0 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 15:02:59 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 11 * 3? 	== 	33 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 15:03:12 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 6/6 100% 	Sat Jan 09 2021 15:03:34 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 2 * 5? 	== 	10 	RunAve=runAve: 7/7 100% 	Sat Jan 09 2021 15:03:51 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 10 * 0? 	== 	0 	RunAve=runAve: 8/8 100% 	Sat Jan 09 2021 15:04:12 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 4 * 2? 	== 	8 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 15:04:32 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 11 * 6? 	== 	66 	RunAve=runAve: 10/10 100% 	Sat Jan 09 2021 15:04:52 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is -2 * -6? 	== 	12 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 15:05:14 GMT-0600 (Central Standard Time)
correct 	2.7secs 	What is 9 * 8? 	== 	72 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 15:05:32 GMT-0600 (Central Standard Time)
correct 	7.2secs 	What is 8 * -8? 	== 	-64 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 15:05:57 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 4 * -1? 	== 	-4 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 15:06:12 GMT-0600 (Central Standard Time)
wrong 	5.3secs 	What is 7 * -12? 	!= 	-104 	RunAve=runAve: 9/10 90% 	Sat Jan 09 2021 15:06:35 GMT-0600 (Central Standard Time)
correct 	1.3secs 	What is 7 * -12? 	== 	-84 	RunAve=runAve: 8/9 88% 	Sat Jan 09 2021 15:06:51 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 12 + 8? 	== 	20 	RunAve=runAve: 7/8 87% 	Sat Jan 09 2021 15:07:13 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is -1 * 4? 	== 	-4 	RunAve=runAve: 6/7 85% 	Sat Jan 09 2021 15:07:51 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 9 * 5? 	== 	45 	RunAve=runAve: 5/6 83% 	Sat Jan 09 2021 15:10:13 GMT-0600 (Central Standard Time)
correct 	4.9secs 	What is 12 * 0? 	== 	0 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 15:10:35 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 10 * 6? 	== 	60 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 15:10:52 GMT-0600 (Central Standard Time)
correct 	16.2secs 	What is -72 / 6? 	== 	-12 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:40:11 GMT-0600 (Central Standard Time)
correct 	13.7secs 	What is 11 + 10? 	== 	21 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 18:40:28 GMT-0600 (Central Standard Time)
wrong 	7.6secs 	What is 6 * 9? 	!= 	36 	RunAve=runAve: 2/3 66% 	Sat Jan 09 2021 18:41:22 GMT-0600 (Central Standard Time)
