correct 	math 	6.6secs 	9 + 12 	What is 9 + 12? 	== 	21 	RunAve=runAve math: 1/1 100% 6.6secs 	Sat Jan 16 2021 11:25:06 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	50 / 10 	What is 50 / 10? 	== 	5 	RunAve=runAve math: 2/2 100% 5.1secs 	Sat Jan 16 2021 11:25:43 GMT-0600 (Central Standard Time)
wrong 	spelling 	8.0secs 	gigantic 	g_______ 	!= 	_igantis 	RunAve=runAve spelling: 0/1  0% 8.0secs 	Sat Jan 16 2021 11:26:08 GMT-0600 (Central Standard Time)
wrong 	spelling 	6.9secs 	gigantic7 	giganti_ 	!= 	_______s 	RunAve=runAve spelling: 0/2  0% 7.4secs 	Sat Jan 16 2021 11:26:27 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	gigantic7 	giganti_ 	== 	_______c 	RunAve=runAve spelling: 1/3 33% 6.0secs 	Sat Jan 16 2021 11:26:43 GMT-0600 (Central Standard Time)
correct 	spelling 	9.0secs 	didactic 	didac___ 	== 	_____tic 	RunAve=runAve spelling: 2/4 50% 6.7secs 	Sat Jan 16 2021 11:27:09 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.7secs 	gigantic 	gi______ 	!= 	__antisc 	RunAve=runAve spelling: 2/5 40% 6.9secs 	Sat Jan 16 2021 11:27:27 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	antic 	a____ 	== 	_ntic 	RunAve=runAve spelling: 3/6 50% 6.3secs 	Sat Jan 16 2021 11:27:43 GMT-0600 (Central Standard Time)
wrong 	spelling 	6.3secs 	tactic 	t_____ 	!= 	_ictic 	RunAve=runAve spelling: 3/7 42% 6.3secs 	Sat Jan 16 2021 11:28:06 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	gigantic7 	giganti_ 	== 	_______c 	RunAve=runAve spelling: 4/8 50% 5.7secs 	Sat Jan 16 2021 11:28:21 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.2secs 	didactic 	d_______ 	!= 	_idictic 	RunAve=runAve spelling: 4/9 44% 5.4secs 	Sat Jan 16 2021 11:28:43 GMT-0600 (Central Standard Time)
correct 	spelling 	3.6secs 	gigantic 	giga____ 	== 	____ntic 	RunAve=runAve spelling: 5/10 50% 5.3secs 	Sat Jan 16 2021 11:29:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	antic 	a____ 	== 	_ntic 	RunAve=runAve spelling: 6/11 54% 4.9secs 	Sat Jan 16 2021 11:29:22 GMT-0600 (Central Standard Time)
wrong 	spelling 	8.8secs 	tactic 	t_____ 	!= 	_actis 	RunAve=runAve spelling: 6/12 50% 5.3secs 	Sat Jan 16 2021 11:29:49 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.3secs 	tactic5 	tacti_ 	!= 	_____s 	RunAve=runAve spelling: 6/13 46% 5.0secs 	Sat Jan 16 2021 11:30:21 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	tactic5 	tacti_ 	== 	_____c 	RunAve=runAve spelling: 7/14 50% 4.8secs 	Sat Jan 16 2021 11:31:30 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	tactic 	t_____ 	== 	_actic 	RunAve=runAve spelling: 8/15 53% 4.6secs 	Sat Jan 16 2021 11:31:50 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.4secs 	antic 	an___ 	!= 	__isc 	RunAve=runAve spelling: 8/16 50% 4.4secs 	Sat Jan 16 2021 11:32:09 GMT-0600 (Central Standard Time)
correct 	spelling 	11.5secs 	frantic 	f______ 	== 	_rantic 	RunAve=runAve spelling: 9/17 52% 4.9secs 	Sat Jan 16 2021 11:32:39 GMT-0600 (Central Standard Time)
correct 	spelling 	5.0secs 	tactics 	tac____ 	== 	___tics 	RunAve=runAve spelling: 10/18 55% 4.9secs 	Sat Jan 16 2021 11:32:52 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	didactic7 	didacti_ 	== 	_______c 	RunAve=runAve spelling: 11/19 57% 4.7secs 	Sat Jan 16 2021 11:33:09 GMT-0600 (Central Standard Time)
correct 	spelling 	31.8secs 	didactic 	d_______ 	== 	_idactic 	RunAve=runAve spelling: 12/20 60% 6.1secs 	Sat Jan 16 2021 11:33:59 GMT-0600 (Central Standard Time)
correct 	spelling 	7.5secs 	antic 	a____ 	== 	_ntic 	RunAve=runAve spelling: 13/21 61% 6.1secs 	Sat Jan 16 2021 11:34:15 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	tactic 	t_____ 	== 	_actic 	RunAve=runAve spelling: 14/22 63% 5.9secs 	Sat Jan 16 2021 11:34:29 GMT-0600 (Central Standard Time)
wrong 	spelling 	26.8secs 	start 	s____ 	!= 	_tirt 	RunAve=runAve spelling: 14/23 60% 6.8secs 	Sat Jan 16 2021 11:35:14 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	start4 	star_ 	== 	____t 	RunAve=runAve spelling: 15/24 62% 6.6secs 	Sat Jan 16 2021 11:35:29 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.6secs 	star 	s___ 	!= 	_arr 	RunAve=runAve spelling: 15/25 60% 6.5secs 	Sat Jan 16 2021 11:35:51 GMT-0600 (Central Standard Time)
correct 	spelling 	5.6secs 	start 	s____ 	== 	_tart 	RunAve=runAve spelling: 16/25 64% 6.4secs 	Sat Jan 16 2021 11:36:13 GMT-0600 (Central Standard Time)
wrong 	spelling 	10.6secs 	starch 	sta___ 	!= 	___sch 	RunAve=runAve spelling: 16/25 64% 6.6secs 	Sat Jan 16 2021 11:36:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	tardy 	ta___ 	== 	__rdy 	RunAve=runAve spelling: 16/25 64% 6.5secs 	Sat Jan 16 2021 11:36:49 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	star3 	sta_ 	== 	___r 	RunAve=runAve spelling: 16/25 64% 6.2secs 	Sat Jan 16 2021 11:37:09 GMT-0600 (Central Standard Time)
correct 	spelling 	4.8secs 	starch 	s_____ 	== 	_tarch 	RunAve=runAve spelling: 17/25 68% 6.1secs 	Sat Jan 16 2021 11:40:32 GMT-0600 (Central Standard Time)
correct 	spelling 	1.1secs 	tardy 	ta___ 	== 	__rdy 	RunAve=runAve spelling: 17/25 68% 6.0secs 	Sat Jan 16 2021 11:40:48 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	star3 	sta_ 	== 	___r 	RunAve=runAve spelling: 18/25 72% 5.8secs 	Sat Jan 16 2021 11:41:09 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	star 	s___ 	== 	_tar 	RunAve=runAve spelling: 18/25 72% 5.9secs 	Sat Jan 16 2021 11:41:30 GMT-0600 (Central Standard Time)
correct 	spelling 	15.6secs 	start 	s____ 	== 	_tart 	RunAve=runAve spelling: 19/25 76% 6.4secs 	Sat Jan 16 2021 11:42:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	starch 	s_____ 	== 	_tarch 	RunAve=runAve spelling: 19/25 76% 6.3secs 	Sat Jan 16 2021 11:42:09 GMT-0600 (Central Standard Time)
correct 	spelling 	16.4secs 	tardy 	t____ 	== 	_ardy 	RunAve=runAve spelling: 19/25 76% 6.9secs 	Sat Jan 16 2021 11:42:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	did 	d__ 	== 	_id 	RunAve=runAve spelling: 20/25 80% 6.6secs 	Sat Jan 16 2021 11:42:50 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	70 / 10 	What is 70 / 10? 	== 	7 	RunAve=runAve math: 3/3 100% 4.1secs 	Sat Jan 16 2021 11:43:29 GMT-0600 (Central Standard Time)
correct 	spelling 	5.1secs 	list 	l___ 	== 	_ist 	RunAve=runAve spelling: 21/25 84% 6.8secs 	Sat Jan 16 2021 11:43:53 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	twitch 	tw____ 	== 	__itch 	RunAve=runAve spelling: 21/25 84% 6.8secs 	Sat Jan 16 2021 11:44:11 GMT-0600 (Central Standard Time)
correct 	spelling 	7.2secs 	plight 	p_____ 	== 	_light 	RunAve=runAve spelling: 21/25 84% 7.0secs 	Sat Jan 16 2021 11:44:35 GMT-0600 (Central Standard Time)
correct 	math 	17.5secs 	12 + -8 	What is 12 + -8? 	== 	4 	RunAve=runAve math: 4/4 100% 7.4secs 	Sat Jan 16 2021 11:45:05 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	ignite 	i_____ 	== 	_gnite 	RunAve=runAve spelling: 22/25 88% 7.1secs 	Sat Jan 16 2021 11:45:12 GMT-0600 (Central Standard Time)
correct 	spelling 	5.0secs 	boon 	b___ 	== 	_oon 	RunAve=runAve spelling: 22/25 88% 6.8secs 	Sat Jan 16 2021 11:45:32 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	tame 	t___ 	== 	_ame 	RunAve=runAve spelling: 22/25 88% 6.8secs 	Sat Jan 16 2021 11:45:52 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.8secs 	beetle 	b_____ 	!= 	_eotle 	RunAve=runAve spelling: 21/25 84% 7.0secs 	Sat Jan 16 2021 11:46:13 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.3secs 	beetle5 	beetl_ 	!= 	_____o 	RunAve=runAve spelling: 20/25 80% 5.9secs 	Sat Jan 16 2021 11:46:33 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.7secs 	beetle5 	beetl_ 	!= 	_____o 	RunAve=runAve spelling: 19/25 76% 5.7secs 	Sat Jan 16 2021 11:46:50 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	beetle5 	beetl_ 	== 	_____e 	RunAve=runAve spelling: 19/25 76% 5.7secs 	Sat Jan 16 2021 11:47:09 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.8secs 	beet 	b___ 	!= 	_iet 	RunAve=runAve spelling: 19/25 76% 5.0secs 	Sat Jan 16 2021 11:47:35 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	beetle5 	beetl_ 	== 	_____e 	RunAve=runAve spelling: 19/25 76% 5.0secs 	Sat Jan 16 2021 11:48:50 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.8secs 	feet 	f___ 	!= 	null 	RunAve=runAve spelling: 19/25 76% 4.9secs 	Sat Jan 16 2021 11:50:09 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	feet3 	fee_ 	== 	___t 	RunAve=runAve spelling: 19/25 76% 4.8secs 	Sat Jan 16 2021 11:50:29 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	beet 	b___ 	== 	_eet 	RunAve=runAve spelling: 20/25 80% 4.5secs 	Sat Jan 16 2021 11:50:50 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	beetle 	be____ 	== 	__etle 	RunAve=runAve spelling: 20/25 80% 4.5secs 	Sat Jan 16 2021 11:51:10 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.4secs 	meet 	m___ 	!= 	_aet 	RunAve=runAve spelling: 19/25 76% 4.4secs 	Sat Jan 16 2021 11:51:28 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.6secs 	feet 	f___ 	!= 	_aet 	RunAve=runAve spelling: 18/25 72% 4.3secs 	Sat Jan 16 2021 11:51:49 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	feet3 	fee_ 	== 	___t 	RunAve=runAve spelling: 18/25 72% 4.3secs 	Sat Jan 16 2021 11:52:09 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	beet 	b___ 	== 	_eet 	RunAve=runAve spelling: 18/25 72% 4.3secs 	Sat Jan 16 2021 11:52:29 GMT-0600 (Central Standard Time)
wrong 	spelling 	23.1secs 	beetle 	b_____ 	!= 	_eotle 	RunAve=runAve spelling: 17/25 68% 5.1secs 	Sat Jan 16 2021 11:53:11 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.3secs 	feet 	f___ 	!= 	_aet 	RunAve=runAve spelling: 16/25 64% 4.5secs 	Sat Jan 16 2021 11:53:28 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	feet3 	fee_ 	== 	___t 	RunAve=runAve spelling: 16/25 64% 4.5secs 	Sat Jan 16 2021 11:53:49 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	beet 	b___ 	== 	_eet 	RunAve=runAve spelling: 16/25 64% 3.9secs 	Sat Jan 16 2021 11:54:10 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	beetle 	b_____ 	== 	_eetle 	RunAve=runAve spelling: 16/25 64% 3.9secs 	Sat Jan 16 2021 11:54:30 GMT-0600 (Central Standard Time)
correct 	spelling 	3.9secs 	meet 	m___ 	== 	_eet 	RunAve=runAve spelling: 16/25 64% 3.9secs 	Sat Jan 16 2021 11:54:52 GMT-0600 (Central Standard Time)
correct 	spelling 	3.7secs 	feet 	f___ 	== 	_eet 	RunAve=runAve spelling: 16/25 64% 3.9secs 	Sat Jan 16 2021 11:55:12 GMT-0600 (Central Standard Time)
correct 	spelling 	15.6secs 	shrug 	s____ 	== 	_hrug 	RunAve=runAve spelling: 16/25 64% 4.2secs 	Sat Jan 16 2021 11:55:43 GMT-0600 (Central Standard Time)
wrong 	spelling 	9.9secs 	prevail 	p______ 	!= 	_revuil 	RunAve=runAve spelling: 15/25 60% 4.5secs 	Sat Jan 16 2021 11:55:58 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	prevail6 	prevai_ 	== 	______l 	RunAve=runAve spelling: 15/25 60% 4.4secs 	Sat Jan 16 2021 11:56:10 GMT-0600 (Central Standard Time)
correct 	spelling 	0.6secs 	remain 	rem___ 	== 	___ain 	RunAve=runAve spelling: 15/25 60% 4.2secs 	Sat Jan 16 2021 11:56:28 GMT-0600 (Central Standard Time)
wrong 	spelling 	14.8secs 	refrain 	r______ 	!= 	_efruin 	RunAve=runAve spelling: 15/25 60% 4.6secs 	Sat Jan 16 2021 11:57:03 GMT-0600 (Central Standard Time)
wrong 	spelling 	15.1secs 	prevail 	p______ 	!= 	_revoil 	RunAve=runAve spelling: 15/25 60% 4.9secs 	Sat Jan 16 2021 11:57:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	refrain6 	refrai_ 	== 	______n 	RunAve=runAve spelling: 16/25 64% 4.9secs 	Sat Jan 16 2021 11:57:30 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.4secs 	remain 	re____ 	!= 	__miin 	RunAve=runAve spelling: 15/25 60% 4.9secs 	Sat Jan 16 2021 11:57:48 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.8secs 	refrain 	r______ 	!= 	_efriin 	RunAve=runAve spelling: 15/25 60% 4.8secs 	Sat Jan 16 2021 11:58:14 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.6secs 	prevail 	prev___ 	!= 	____ill 	RunAve=runAve spelling: 14/25 56% 4.8secs 	Sat Jan 16 2021 11:58:31 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	refrain6 	refrai_ 	== 	______n 	RunAve=runAve spelling: 15/25 60% 4.8secs 	Sat Jan 16 2021 11:58:50 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.1secs 	remain 	r_____ 	!= 	_omain 	RunAve=runAve spelling: 14/25 56% 5.0secs 	Sat Jan 16 2021 11:59:15 GMT-0600 (Central Standard Time)
correct 	spelling 	13.3secs 	refrain 	r______ 	== 	_efrain 	RunAve=runAve spelling: 14/25 56% 5.5secs 	Sat Jan 16 2021 11:59:41 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	prevail 	p______ 	== 	_revail 	RunAve=runAve spelling: 14/25 56% 5.5secs 	Sat Jan 16 2021 11:59:50 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	remain5 	remai_ 	== 	_____n 	RunAve=runAve spelling: 15/25 60% 5.5secs 	Sat Jan 16 2021 12:00:50 GMT-0600 (Central Standard Time)
correct 	spelling 	33.9secs 	remain 	r_____ 	== 	_emain 	RunAve=runAve spelling: 16/25 64% 6.8secs 	Sat Jan 16 2021 12:01:42 GMT-0600 (Central Standard Time)
