wrong 	Fri Jan 08 2021 13:23:35 GMT-0600 (Central Standard Time) 	8061 	What is 0 - -11? 	!= 14
correct 	Fri Jan 08 2021 13:25:28 GMT-0600 (Central Standard Time) 	100942 	What is 0 - -12? 	!= 12
wrong 	Fri Jan 08 2021 13:25:49 GMT-0600 (Central Standard Time) 	2361 	What is 0 - -12? 	!= 10
wrong 	Fri Jan 08 2021 13:26:18 GMT-0600 (Central Standard Time) 	10826 	What is 0 - -11? 	!= 12
correct 	Fri Jan 08 2021 13:26:31 GMT-0600 (Central Standard Time) 	4508 	What is 0 - -12? 	!= 12
correct 	Fri Jan 08 2021 13:26:49 GMT-0600 (Central Standard Time) 	2087 	What is 0 - -11? 	!= 11
correct 	Fri Jan 08 2021 13:27:34 GMT-0600 (Central Standard Time) 	6618 	What is 40 / 5? 	!= 8
correct 	Fri Jan 08 2021 13:27:53 GMT-0600 (Central Standard Time) 	5802 	What is 9 * -11? 	!= -99
correct 	Fri Jan 08 2021 13:28:11 GMT-0600 (Central Standard Time) 	4120 	What is 10 * -10? 	!= -100
correct 	Fri Jan 08 2021 13:28:31 GMT-0600 (Central Standard Time) 	4311 	What is 6 / 1? 	!= 6
correct 	Fri Jan 08 2021 13:28:50 GMT-0600 (Central Standard Time) 	2498 	What is 6 * 11? 	!= 66
correct 	Fri Jan 08 2021 13:29:10 GMT-0600 (Central Standard Time) 	3027 	What is 12 * 1? 	!= 12
correct 	Fri Jan 08 2021 13:29:34 GMT-0600 (Central Standard Time) 	6856 	What is 1 * 12? 	!= 12
correct 	Fri Jan 08 2021 13:29:52 GMT-0600 (Central Standard Time) 	4700 	What is -1 * 7? 	!= -7
correct 	Fri Jan 08 2021 13:30:11 GMT-0600 (Central Standard Time) 	3447 	What is 11 * 6? 	!= 66
correct 	Fri Jan 08 2021 13:30:31 GMT-0600 (Central Standard Time) 	3985 	What is 0 + 8? 	!= 8
correct 	Fri Jan 08 2021 13:30:50 GMT-0600 (Central Standard Time) 	3372 	What is 60 / 10? 	!= 6
correct 	Fri Jan 08 2021 13:33:10 GMT-0600 (Central Standard Time) 	2480 	What is 1 + 6? 	!= 7
correct 	Fri Jan 08 2021 13:33:31 GMT-0600 (Central Standard Time) 	3462 	What is 10 + 8? 	!= 18
correct 	Fri Jan 08 2021 13:33:50 GMT-0600 (Central Standard Time) 	3056 	What is -4 + 4? 	!= 0
correct 	Fri Jan 08 2021 13:34:10 GMT-0600 (Central Standard Time) 	2684 	What is 4 * 4? 	!= 16
correct 	Fri Jan 08 2021 13:34:30 GMT-0600 (Central Standard Time) 	2456 	What is 7 * 6? 	!= 42
correct 	Fri Jan 08 2021 13:34:53 GMT-0600 (Central Standard Time) 	5748 	What is 12 * 2? 	!= 24
correct 	Fri Jan 08 2021 13:35:11 GMT-0600 (Central Standard Time) 	3524 	What is 40 / 10? 	!= 4
correct 	Fri Jan 08 2021 13:35:30 GMT-0600 (Central Standard Time) 	2476 	What is 5 + 5? 	!= 10
correct 	Fri Jan 08 2021 13:35:53 GMT-0600 (Central Standard Time) 	5535 	What is 1 - 9? 	!= -8
correct 	Fri Jan 08 2021 13:36:16 GMT-0600 (Central Standard Time) 	8334 	What is 5 + -10? 	!= -5
correct 	Fri Jan 08 2021 13:36:34 GMT-0600 (Central Standard Time) 	6520 	What is 10 * 2? 	!= 20
correct 	Fri Jan 08 2021 13:36:50 GMT-0600 (Central Standard Time) 	2759 	What is 3 + 6? 	!= 9
correct 	Fri Jan 08 2021 13:37:09 GMT-0600 (Central Standard Time) 	1961 	What is 3 * 10? 	!= 30
wrong  	Fri Jan 08 2021 13:42:59 GMT-0600 (Central Standard Time) 	1658 	What is 7 + 12? 	!= 17	RunAve=/1
correct 	Fri Jan 08 2021 13:47:16 GMT-0600 (Central Standard Time) 	1025 	What is 12 * 4? 	!= 48	RunAve=runAve: 1/1 100%
correct 	Fri Jan 08 2021 13:47:37 GMT-0600 (Central Standard Time) 	1753 	What is -11 * -10? 	!= 110	RunAve=runAve: 2/2 100%
wrong 	Fri Jan 08 2021 13:47:57 GMT-0600 (Central Standard Time) 	1713 	What is 5 * 8? 	!= 30	RunAve=runAve: 2/3 66%
correct 	Fri Jan 08 2021 13:49:16 GMT-0600 (Central Standard Time) 	1284 	What is 5 * 6? 	!= 30	RunAve=runAve: 3/4 75%
correct 	2.1secs 	What is 5 * 2? 	== 	10 	RunAve=runAve: 1/1 100% 	Fri Jan 08 2021 13:57:37 GMT-0600 (Central Standard Time)
wrong 	3.0secs 	What is 9 + 9? 	!= 	17 	RunAve=runAve: 1/2 50% 	Fri Jan 08 2021 13:57:58 GMT-0600 (Central Standard Time)
wrong 	2.2secs 	What is 9 + 7? 	!= 	18 	RunAve=runAve: 1/3 33% 	Fri Jan 08 2021 13:58:17 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 9 + 9? 	== 	18 	RunAve=runAve: 2/4 50% 	Fri Jan 08 2021 13:58:57 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 9 + 5? 	== 	14 	RunAve=runAve: 3/5 60% 	Fri Jan 08 2021 13:59:17 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 9 + 6? 	== 	15 	RunAve=runAve: 4/6 66% 	Fri Jan 08 2021 13:59:39 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 9 + 7? 	== 	16 	RunAve=runAve: 5/7 71% 	Fri Jan 08 2021 13:59:59 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 5 * -12? 	== 	-60 	RunAve=runAve: 1/1 100% 	Fri Jan 08 2021 14:01:16 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 4 * -10? 	== 	-40 	RunAve=runAve: 2/2 100% 	Fri Jan 08 2021 14:01:36 GMT-0600 (Central Standard Time)
correct 	3.4secs 	What is 10 + 5? 	== 	15 	RunAve=runAve: 3/3 100% 	Fri Jan 08 2021 14:01:58 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 1 + 7? 	== 	8 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 15:01:52 GMT-0600 (Central Standard Time)
correct 	44.6secs 	What is 11 * 0? 	== 	0 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 15:02:54 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 6 * 3? 	== 	18 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 15:03:11 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 0 * 5? 	== 	0 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 15:03:32 GMT-0600 (Central Standard Time)
correct 	13.2secs 	What is -54 / 6? 	== 	-9 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 15:04:23 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 44 / 11? 	== 	4 	RunAve=runAve: 6/6 100% 	Sat Jan 09 2021 15:04:31 GMT-0600 (Central Standard Time)
correct 	188.1secs 	What is 10 * 12? 	== 	120 	RunAve=runAve: 7/7 100% 	Sat Jan 09 2021 15:07:58 GMT-0600 (Central Standard Time)
correct 	12.5secs 	What is 1 * 2? 	== 	2 	RunAve=runAve: 8/8 100% 	Sat Jan 09 2021 15:08:22 GMT-0600 (Central Standard Time)
correct 	32.6secs 	What is 7 * 2? 	== 	14 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 15:18:56 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 3 * 12? 	== 	36 	RunAve=runAve: 10/10 100% 	Sat Jan 09 2021 15:19:05 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 6 + 0? 	== 	6 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 15:20:46 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 4 + 6? 	== 	10 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 15:21:46 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is -7 * 10? 	== 	-70 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 15:25:06 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 5 - 4? 	== 	1 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 15:25:27 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 1 + 12? 	== 	13 	RunAve=runAve: 10/10 100% 	Sat Jan 09 2021 15:25:46 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 5 + 2? 	== 	7 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 16:36:08 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 7 * 8? 	== 	56 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:39:57 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is -6 * 0? 	== 	0 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 18:40:16 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 18:40:37 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is -8 * 10? 	== 	-80 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 18:40:57 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is -12 * 6? 	== 	-72 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 18:41:17 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is -11 * 7? 	== 	-77 	RunAve=runAve: 6/6 100% 	Sat Jan 09 2021 18:41:36 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 99 / 9? 	== 	11 	RunAve=runAve: 7/7 100% 	Sat Jan 09 2021 18:41:59 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 1 * 8? 	== 	8 	RunAve=runAve: 8/8 100% 	Sat Jan 09 2021 18:42:16 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 6 + 1? 	== 	7 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 18:42:38 GMT-0600 (Central Standard Time)
