wrong 	spelling 	7.5secs 	ninety 	n_____ 	!= 	_nnety 	RunAve=runAve spelling: 0/1  0% 7.5secs 	Tue Jan 12 2021 21:58:42 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	ninety 	ninet_ 	== 	_____y 	RunAve=runAve spelling: 1/2 50% 4.5secs 	Tue Jan 12 2021 21:58:55 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	11 * 0 	What is 11 * 0? 	== 	0 	RunAve=runAve math: 1/1 100% 1.3secs 	Tue Jan 12 2021 22:00:56 GMT-0600 (Central Standard Time)
correct 	math 	2.8secs 	0 * -1 	What is 0 * -1? 	== 	0 	RunAve=runAve math: 1/1 100% 2.8secs 	Tue Jan 12 2021 22:06:13 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	staidundefined 	s____ 	== 	_taid 	RunAve=runAve spelling: 1/1 100% 2.1secs 	Tue Jan 12 2021 22:06:32 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	14 / 2 	What is 14 / 2? 	== 	7 	RunAve=runAve math: 2/2 100% 2.7secs 	Tue Jan 12 2021 22:06:53 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	10 * 7 	What is 10 * 7? 	== 	70 	RunAve=runAve math: 3/3 100% 2.4secs 	Tue Jan 12 2021 22:07:12 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	9 - 8 	What is 9 - 8? 	== 	1 	RunAve=runAve math: 4/4 100% 2.4secs 	Tue Jan 12 2021 22:07:33 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	2 * 5 	What is 2 * 5? 	== 	10 	RunAve=runAve math: 5/5 100% 2.3secs 	Tue Jan 12 2021 22:07:52 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	5 / 1 	What is 5 / 1? 	== 	5 	RunAve=runAve math: 6/6 100% 2.2secs 	Tue Jan 12 2021 22:08:12 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	sunundefined 	s__ 	== 	_un 	RunAve=runAve spelling: 2/2 100% 2.1secs 	Tue Jan 12 2021 22:08:33 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	finundefined 	f__ 	== 	_in 	RunAve=runAve spelling: 3/3 100% 2.1secs 	Tue Jan 12 2021 22:08:52 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	-11 * 5 	What is -11 * 5? 	== 	-55 	RunAve=runAve math: 7/7 100% 2.1secs 	Tue Jan 12 2021 22:09:12 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	terseundefined 	t____ 	== 	_erse 	RunAve=runAve spelling: 4/4 100% 1.9secs 	Tue Jan 12 2021 22:09:32 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	2 - 8 	What is 2 - 8? 	== 	-6 	RunAve=runAve math: 8/8 100% 2.2secs 	Tue Jan 12 2021 22:09:54 GMT-0600 (Central Standard Time)
